SR_NUM_1,SR_NUM_2,SITE_NAME_1,SITE_NAME_2,SITE_NAME_COMPARISON_SCORE,STATE_1,STATE_2,STATE_COMPARISON_SCORE,CITY_1,CITY_2,CITY_COMPARISON_SCORE,CONCAT_ADDRESS_1,CONCAT_ADDRESS_2,CONCAT_ADDRESS_COMPARISON_SCORE,POSTAL_CODE_1,POSTAL_CODE_2,POSTAL_CODE_COMPARISON_SCORE,NUM_OF_MATCHES_FOUND
13590,13589,Istanbul Universitesi Istanbul Tip Fakultesi Hastanesi,Istanbul Universitesi Istanbul Tip Fakultesi Hastanesi,1.0,Istanbul,Istanbul,1.0,Istanbul,Istanbul,1.0,Fatih Capa,"Capa, FatihIc Hastaliklari Anabilim Dali, Hematoloji Bilim Dali",0.0,34093,34093,1.0,4.0
13591,13589,Istanbul Universitesi Istanbul Tip Fakultesi Hastanesi,Istanbul Universitesi Istanbul Tip Fakultesi Hastanesi,1.0,Istanbul,Istanbul,1.0,Istanbul,Istanbul,1.0,Fatih Capa,"Capa, FatihIc Hastaliklari Anabilim Dali, Hematoloji Bilim Dali",3.0,34093,34093,1.0,7.0
13592,13589,Istanbul Universitesi Istanbul Tip Fakultesi Hastanesi,Istanbul Universitesi Istanbul Tip Fakultesi Hastanesi,1.0,Istanbul,Istanbul,1.0,Istanbul,Istanbul,1.0,Fatih Capa,"Capa, FatihIc Hastaliklari Anabilim Dali, Hematoloji Bilim Dali",3.0,34093,34093,1.0,7.0
13593,13589,Istanbul Universitesi Istanbul Tip Fakultesi Hastanesi,Istanbul Universitesi Istanbul Tip Fakultesi Hastanesi,1.0,Istanbul,Istanbul,1.0,Istanbul,Istanbul,1.0,Fatih Capa,"Capa, FatihIc Hastaliklari Anabilim Dali, Hematoloji Bilim Dali",3.0,34093,34093,1.0,7.0
13594,13589,Istanbul Universitesi Istanbul Tip Fakultesi Hastanesi,Istanbul Universitesi Istanbul Tip Fakultesi Hastanesi,1.0,Istanbul,Istanbul,1.0,Istanbul,Istanbul,1.0,Fatih Capa,"Capa, FatihIc Hastaliklari Anabilim Dali, Hematoloji Bilim Dali",3.0,34093,34093,1.0,7.0
13595,13589,Istanbul Universitesi Istanbul Tip Fakultesi Hastanesi,Istanbul Universitesi Istanbul Tip Fakultesi Hastanesi,1.0,Istanbul,Istanbul,1.0,Istanbul,Istanbul,1.0,Fatih Capa,"Capa, FatihIc Hastaliklari Anabilim Dali, Hematoloji Bilim Dali",3.0,34093,34093,1.0,7.0
13596,13589,Istanbul Universitesi Istanbul Tip Fakultesi Hastanesi,Istanbul Universitesi Istanbul Tip Fakultesi Hastanesi,1.0,Istanbul,Istanbul,1.0,Istanbul,Istanbul,1.0,Fatih Capa,"Capa, FatihIc Hastaliklari Anabilim Dali, Hematoloji Bilim Dali",3.0,34093,34093,1.0,7.0
13597,13589,Istanbul Universitesi Istanbul Tip Fakultesi Hastanesi,Istanbul Universitesi Istanbul Tip Fakultesi Hastanesi,1.0,Istanbul,Istanbul,1.0,Istanbul,Istanbul,1.0,Fatih Capa,"Capa, FatihIc Hastaliklari Anabilim Dali, Hematoloji Bilim Dali",3.0,34093,34093,1.0,7.0
13598,13598,Haseki Egitim ve Arastirma Hastanesi,Haseki Egitim ve Arastirma Hastanesi,1.0,Istanbul,Istanbul,1.0,Fatih,Fatih,1.0,Adnan Adivar Cad.,Adnan Adivar Cad.,3.0,34096,34096,1.0,7.0
13599,13598,Haseki Egitim ve Arastirma Hastanesi,Haseki Egitim ve Arastirma Hastanesi,1.0,Istanbul,Istanbul,1.0,Fatih,Fatih,1.0,Adnan Adivar Cad.,Adnan Adivar Cad.,3.0,34096,34096,1.0,7.0
13600,13598,Haseki Egitim ve Arastirma Hastanesi,Haseki Egitim ve Arastirma Hastanesi,1.0,Istanbul,Istanbul,1.0,Fatih,Fatih,1.0,Adnan Adivar Cad.,Adnan Adivar Cad.,3.0,34096,34096,1.0,7.0
13601,13598,Haseki Egitim ve Arastirma Hastanesi,Haseki Egitim ve Arastirma Hastanesi,1.0,Istanbul,Istanbul,1.0,Fatih,Fatih,1.0,Adnan Adivar Cad.,Adnan Adivar Cad.,3.0,34096,34096,1.0,7.0
13602,13598,Haseki Egitim ve Arastirma Hastanesi,Haseki Egitim ve Arastirma Hastanesi,1.0,Istanbul,Istanbul,1.0,Fatih,Fatih,1.0,Adnan Adivar Cad.,Adnan Adivar Cad.,3.0,34096,34096,1.0,7.0
13603,13598,Haseki Egitim ve Arastirma Hastanesi,Haseki Egitim ve Arastirma Hastanesi,1.0,Istanbul,Istanbul,1.0,Fatih,Fatih,1.0,Adnan Adivar Cad.,Adnan Adivar Cad.,3.0,34096,34096,1.0,7.0
13604,13598,Haseki Egitim ve Arastirma Hastanesi,Haseki Egitim ve Arastirma Hastanesi,1.0,Istanbul,Istanbul,1.0,Fatih,Fatih,1.0,Adnan Adivar Cad.,Adnan Adivar Cad.,3.0,34096,34096,1.0,7.0
13605,13605,Istanbul University Cerrahpasa Medical Faculty Hospital,Istanbul University Cerrahpasa Medical Faculty Hospital,1.0,Istanbul,Istanbul,1.0,Istanbul,Istanbul,1.0,181 Cerrahpasa Street,181 Cerrahpasa Street,3.0,34098,34098,1.0,7.0
13606,13605,Istanbul University Cerrahpasa Medical Faculty Hospital,Istanbul University Cerrahpasa Medical Faculty Hospital,1.0,Istanbul,Istanbul,1.0,Istanbul,Istanbul,1.0,"Cerrahpasa Mah., FatihIc Hastaliklari Anabilim Dali Tibbi Onkoloji Bolumu",181 Cerrahpasa Street,0.0,34098,34098,1.0,4.0
